WellName,XCoord,YCoord,Aquifer,CoordUnits
BH1,551689.428,224468.026,,metres
BH2,551679.428,224426.026,,
BH3,551661.933,224430.994,,
GDBH101,551674.928,224439.026,,
GDBH102,551678.757,224469.314,,
GDBH103,551696.311,224474.704,,
GDBH103A,551696.311,224474.904,,
GDBH104,551664.762,224459.107,,
GDBH105,551696.928,224459.026,,
MW1,551695.928,224452.526,,
MW10,551636.84,224440.356,,
MW101,551693.78,224446.682,,
MW102,551683.813,224448.571,,
MW103,551688.304,224470.95,,
MW104,551698.187,224468.987,,
MW2,551682.928,224440.026,,
MW3,551687.428,224453.026,,
MW4,551695.928,224464.526,,
MW5,551688.235,224425.7,,
MW6,551677.336,224427.377,,
MW7,551667.544,224429.885,,
MW8,551662.764,224443.962,,
MW9,551658.168,224435.389,,
SGS1,551684.928,224452.026,,
SGS2,551658.4,224436.137,,
SGS3 P1,551664.466,224454.605,A,
SGS3 P2,551664.466,224454.605,A,
SGS3 P3,551664.466,224454.605,A,
SGS4 P1,551645.456,224440.97,A,
SGS4 P3,551645.456,224440.97,,
SGS5 P1,551714.208,224453.87,A,
SGS5 P2,551714.208,224453.87,A,
